,label,별점,참여,N_clicks,finish,pieces,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,영화,드라마,도서
219,송곳 4~5부,9.91,29652,0.991909385,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
220,수사9단,9.905,6011,0.98381877,1,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
221,수업시간그녀,9.8925,35408,0.991909385,1,4,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1
222,숲 속의 미마,9.976666667,24132.13333,0.998381877,1,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
223,슈퍼 시크릿,9.984513889,40471.22222,0.998381877,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
224,슈퍼트리오,9.28,1163,0.8802589,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
225,스마일브러시,9.941282051,4451.282051,0.991909385,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
226,스쿨홀릭,9.913818182,6551.281818,0.98381877,1,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
227,스토커,9.938888889,11134.44444,0.990291262,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
228,스튜디오 짭쪼롬,9.942,60579,0.996763754,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
229,스페이스 차이나드레스,9.8875,14334.375,0.982200647,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
230,스페이스 킹,9.936848485,3278.575758,0.988673139,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
231,스펙트럼 분석기,9.787058824,43880.23529,0.969255663,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
232,시간의 섬,9.756118421,7085.605263,0.969255663,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
233,시노딕,9.922954545,3139.284091,0.991909385,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
234,시큼새큼,9.947931034,44540.17241,0.985436893,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
235,시타를 위하여,9.9375,47411,0.996763754,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
236,식스센스,9.226849315,328.5616438,0.875404531,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
237,신령,9.950625,35878.03125,0.996763754,1,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
238,실질객관동화,9.908684211,8246.563158,0.985436893,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
239,실질객관영화,9.77,32787.34615,0.95631068,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,심부름센터 K,9.635,4360.125,0.94012945,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,심심한 마왕,9.904545455,27564.81818,0.978964401,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
242,심장이뛰다,9.929,3119.3,0.990291262,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
243,싸우자귀신아,9.909548872,17387.49624,0.985436893,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
244,썸남,9.968356164,24369.54795,0.996763754,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
245,쎈놈,9.782,7511.533333,0.912621359,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
246,쎈놈 외전,9.8,9269,0.985436893,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
247,아는사람 이야기,9.956,34506.4,0.991909385,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
248,아랫집 시누이,9.948947368,60775.03509,0.993527508,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
249,아부쟁이,9.918435374,5014.435374,0.987055016,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
250,아스란영웅전,9.951313869,6388.934307,0.991909385,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,아이덴티티,9.97125,23224.5,0.998381877,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
252,아이돌 연구소,9.463076923,4773.346154,0.911003236,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
253,아이들은 즐겁다,9.949655172,42542.48276,0.993527508,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
254,아이들의 권 선생님,9.944,51129.1,0.993527508,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
255,"아이소포스 1, 2부",9.9325,21369,0.995145631,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
256,아이소포스 3부,9.89,17705,0.993527508,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
257,아일랜드 1부,9.957272727,19987.63636,0.995145631,1,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
258,아프니까 병원이다,9.890947368,9905.126316,0.98381877,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
259,악당의 사연,9.879090909,11765.27273,0.988673139,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
260,악의는 없다,9.9,29721.5,0.917475728,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
261,악플게임,9.626,79565.4,0.975728155,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
262,안 돼요 마왕님!,9.936470588,33904.82353,0.995145631,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
263,안나라수마나라,9.943333333,37822.16667,0.993527508,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
264,알게뭐야,9.94,34944.83333,0.995145631,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
265,야! 오이,9.89,8297.090909,0.988673139,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
266,야부리맨,9.845882353,7082.786765,0.975728155,1,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
267,어빌리티,9.761311475,9594,0.962783172,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
268,어서오세요.305호에,9.956363636,21440.54545,0.995145631,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
269,언더클래스 히어로,9.95955414,8232.407643,0.993527508,1,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
270,언더프린,9.954558824,16854.14706,0.993527508,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
271,언터처블,9.95,49971.5,0.996763754,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
272,얼룩말,9.955769231,7728.615385,0.993527508,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
273,엄마와 딸 x2,9.951111111,28649.33333,0.996763754,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
274,에피소드메이비,9.872440945,498.976378,0.978964401,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
275,여중생A,9.977058824,43520.17647,0.998381877,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
276,여탕보고서,9.89125,60607.625,0.993527508,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
277,역전! 야매요리,9.847571429,57718.37857,0.972491909,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
278,연,9.7848,2380.12,0.964401294,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
279,연 시즌2,9.774736842,5092.657895,0.964401294,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
280,연애세포,9.91,6006.727273,0.988673139,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
281,연옥님이 보고계셔,9.866666667,1859.52381,0.975728155,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
282,열무가 익어간다,9.922,20617.8,0.990291262,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
283,열쇠줍는아이,9.878235294,1525.882353,0.975728155,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
284,열아홉스물하나,9.951363636,15137.04545,0.993527508,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
285,열일곱,6.3175,25933.875,0.300970874,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
286,영수의 봄,9.93,29235,0.995145631,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
287,영웅열공전,9.89,5218,0.978964401,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
288,옆집화랑,9.926857143,4542.67619,0.988673139,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
289,오!주예수여,9.979440559,34095.97902,0.998381877,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
290,오늘도 핸드메이드!,9.969,15129.6,0.996763754,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
291,오늘부터 주군,9.34,56507.8,0.941747573,1,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
292,오늘의 낭만부,9.606990291,7239.31068,0.932038835,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
293,오란씨100,9.23,5736.8,0.957928803,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
294,오렌지 마말레이드,9.934285714,32500.42857,0.987055016,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
295,오민혁 단편선,9.9675,29614.5,0.996763754,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
296,오빠 왔다,9.828986014,39460.3007,0.953074434,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
297,오성X한음,9.947027027,5349.972973,0.993527508,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
298,오즈랜드,9.973,22242.45,0.998381877,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
299,올해의 벚꽃도 함께,9.9725,17789,0.996763754,1,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
300,와라! 편의점,9.812727273,9809.131313,0.977346278,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
301,와일드와일드워커스,9.9,2784.6,0.988673139,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
302,와탕카,9.651572238,210,0.946601942,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
303,와탕카2,9.238596491,383.3157895,0.833333333,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
304,완벽한 허니문,9.965714286,38355.92857,0.996763754,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
305,요리대마왕,9.881818182,5545.545455,0.988673139,1,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
306,용의 아들 최창식,9.858876404,15848.95506,0.975728155,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
307,용이산다,9.773333333,48105.68841,0.964401294,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
308,우렁집사,9.928,21365.8,0.991909385,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
309,우리 헤어졌어요,9.94,57693.75,0.98381877,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
310,우리들은 푸르다,9.565735736,15411.23724,0.888349515,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
311,우리의 이상한 여행,9.694,7317.4,0.966019417,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
312,우바우,9.969034091,6264.392045,0.996763754,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
313,우주전함 몰라몰라,9.55027027,6279.648649,0.927184466,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
314,운빨로맨스,9.902857143,21905.71429,0.995145631,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
315,움비처럼,9.89507874,2966.027559,0.98381877,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
316,원 뿔러스 원,9.95,44816.25,0.996763754,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
317,원미동 백수,9.520952381,805.0952381,0.927184466,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
318,원티드,9.924548495,8290.397993,0.990291262,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
319,월남특급,9.876489362,5798.329787,0.980582524,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
320,웨스트우드 비브라토,9.7925,4298,0.988673139,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
321,위아더 능력자!,9.932222222,29281.16667,0.990291262,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
322,윈터우즈,9.971666667,46506.83333,0.998381877,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
323,유토피아,9.924,5556.3,0.993527508,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
324,은주의 방,9.953255814,31622.30233,0.993527508,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
325,은하연인전,9.77556338,2519.633803,0.962783172,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
326,"이기자, 그린",9.938,20238,0.995145631,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
327,이런 영웅은 싫어,9.97,31747.56106,0.996763754,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
328,이말년 서유기,9.92375,50049.5,0.817152104,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
329,이말년씨리즈,9.706352201,17968.15094,0.834951456,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
330,이별만화 완성도,9.902097902,5092.216783,0.977346278,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
331,인챈트-나람이야기,9.964,23965.6,0.993527508,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
332,일등당첨,9.843333333,56333.83333,0.885113269,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
333,일사부재리,9.926785714,5619.214286,0.991909385,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
334,일상날개짓,9.941460674,14295.17228,0.991909385,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
335,일편단심화,9.775652174,1086.478261,0.96763754,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
336,잉잉잉,9.936923077,6187.653846,0.991909385,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
337,자율공상축구탐구만화,9.250442478,436.0088496,0.881877023,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
338,잡다한컷,9.915205479,10395.79452,0.987055016,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
339,장미아파트 공경비,9.94,26839.84,0.953074434,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
340,재앙은 미묘하게,9.97,34397.2,0.995145631,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
341,저승에서 만난 사람들,9.975,36609.75,0.998381877,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
342,적생,9.9325,26261.75,0.993527508,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
343,전설의 레전드,9.5,42380.8,0.95631068,1,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
344,절벽귀 (재),9.965,27714,0.996763754,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
345,정열맨,9.564,14569.9,0.792880259,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
346,제로,9.788095238,394.8571429,0.962783172,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
347,제주구슬할망,9.758571429,594.8571429,0.959546926,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
348,제페토,9.945333333,11901.66667,0.993527508,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
349,조석축구만화,9.815789474,3106.842105,0.970873786,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
350,조선좀비실록,9.8,10521.63235,0.977346278,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
351,죄의 파편,9.948,39332.2,0.993527508,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
352,죽은 마법사의 도시,9.947027027,24925.52703,0.993527508,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
353,중립디자인구역,9.778,24810.2,0.948220065,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
354,지상 최악의 소년,9.879090909,14654.45455,0.980582524,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
355,지새는 달,9.945517241,9074.068966,0.991909385,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
356,지원,9.92962963,4167.611111,0.990291262,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
357,지캠단편 2017,9.907777778,16572.94444,0.982200647,1,11,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0
358,진진돌이 에볼루션,9.916666667,4506.666667,0.987055016,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
359,진진돌이 제로,9.920512821,10152.30769,0.988673139,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
360,질풍기획 시즌1,9.956785714,13138.35714,0.995145631,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
361,질풍기획 시즌2,9.973561644,14907.9863,0.996763754,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
362,징글정글,9.744615385,1292.307692,0.972491909,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
363,찌질의 역사,9.952727273,23864.63636,0.98381877,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
364,차원이 다른 만화,9.955694444,17101.70833,0.993527508,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
365,차차차,9.95203125,10293.09375,0.991909385,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
366,참치와 돌고래,9.971636364,17675.6,0.996763754,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
367,창위의일루젼,9.173030303,565.3939394,0.867313916,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
368,천국의 신화 6부,9.932244898,4276.887755,0.990291262,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
369,천년구미호,9.953333333,29729.58333,0.995145631,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
370,천적,9.8575,9670.75,0.974110032,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
371,첩보의 별,9.886349206,8547.222222,0.978964401,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
372,첩보의 별 시즌2,9.922108434,3105.572289,0.988673139,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
373,체스아일,9.865846154,643.4,0.978964401,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
374,체크포인트,9.962121212,23554.30303,0.995145631,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
375,출격! 반보트,9.93,7260.266667,0.987055016,1,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
376,취업의소리,9.16125,606.875,0.86407767,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
377,치즈인더트랩 1~3부,9.956875,57549.6875,0.995145631,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
378,치즈인더트랩 4부,9.965714286,60791.57143,0.996763754,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
379,카라멜마끼아또,9.90393617,2006.191489,0.985436893,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
380,카오스어택,9.938333333,25684.5,0.993527508,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
381,커피우유신화,9.93092437,5395.453782,0.990291262,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
382,컨트롤제트,9.933636364,29775.27273,0.990291262,1,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
383,콘스탄쯔 이야기,9.932403846,2703.298077,0.990291262,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
384,크레이지 커피 캣,9.8685,2142.65,0.970873786,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
385,크레이터,9.925454545,16245,0.990291262,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
386,크리퍼스큘,9.955833333,23162.53333,0.991909385,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
387,키드갱 시즌2,9.805,13540,0.991909385,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
388,키스우드,9.957,8293.2,0.993527508,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
389,킥,7.938648649,15063.39189,0.637540453,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
390,킬러 김빵빵,9.84721519,4376.367089,0.972491909,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
391,킬러분식,9.945,28518.83333,0.990291262,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
392,타임인조선,9.959375,20450.125,0.990291262,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
393,타투,9.231290323,348.6774194,0.870550162,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
394,탈(TAL),9.947007042,13091.26408,0.991909385,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
395,탐구생활2,9.74671875,140.9375,0.962783172,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
396,탐구생활3,9.793076923,840.7692308,0.96763754,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
397,태왕광개토,9.765862069,329.9482759,0.962783172,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
398,터치! 메리크리스마스,9.749,10517.7,0.966019417,1,11,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0
399,테제,9.620217391,3620.391304,0.932038835,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
400,퇴마전쟁,9.857169811,13917.20755,0.975728155,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
401,투명한 동거,9.952,60640.8,0.987055016,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
402,투엔티스,9.946,42158.8,0.991909385,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
403,트라우마,9.910592992,1828.070081,0.987055016,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
404,파도의 주인,9.973,16178.5,0.998381877,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
405,파라다이스,9.781181102,4174.535433,0.951456311,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
406,판다독,9.835264977,3674.209677,0.975728155,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
407,판타스틱 어른백서,9.151176471,472.9607843,0.843042071,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
408,패밀리맨,9.93,5241,0.980582524,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
409,패션왕,8.98875,55107.25,0.729773463,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
410,페르샤,9.876,9421.44,0.982200647,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
411,페르샤 시즌2,9.965652174,6681.014493,0.995145631,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
412,펫다이어리,9.953469388,7411.510204,0.993527508,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
413,펫다이어리2.런,9.950208333,4902.5,0.993527508,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
414,폭풍의 전학생,9.875454545,18360.09091,0.928802589,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
416,폰령,9.623333333,20484.33333,0.936893204,1,11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
417,퓨어 이블,9.976,8944.28,0.996763754,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
418,프린스의 왕자,9.956666667,48894.16667,0.998381877,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
419,플로우,9.948333333,55519.16667,0.995145631,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
420,플루타크 영웅전,9.422561983,1270.818182,0.862459547,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
421,피리부는 남자,9.952075472,15214.32075,0.993527508,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
422,피터팬날다,8.86962963,471.7654321,0.810679612,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
423,핑크레이디,9.930454545,10024.61364,0.990291262,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
424,핑크레이디 클래식,9.918877551,5820.704082,0.987055016,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
425,하나(HANA),9.93,45065.5,0.990291262,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
426,하이브,9.9492,19136.01,0.993527508,1,6,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
427,한 살이라도 어릴 때,9.954285714,35042.89286,0.993527508,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
428,한국만화 1990,9.696,5107.75,0.961165049,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
429,한국만화거장전,9.87826087,17349.52174,0.985436893,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,한섬세대,9.86097561,3091.219512,0.978964401,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
431,한줌물망초,9.957916667,19150.83333,0.995145631,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
432,해피,9.837692308,5087.653846,0.975728155,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
433,향수,9.928,4781.4,0.990291262,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
434,헬로 미스터 테디,9.940769231,30175.30769,0.991909385,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
435,헬퍼,9.916666667,25447.86667,0.993527508,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
436,혜성같은 소년,9.655,1443.8125,0.943365696,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
437,화이트멜로우,9.958,10015.2,0.993527508,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
438,황금짱순이,8.187826087,444.4347826,0.690938511,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
439,후유증,9.773333333,25017.66667,0.899676375,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
440,후유증 2,9.846666667,10244.66667,0.982200647,1,6,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
441,흐드러지다,9.832727273,5649.454545,0.988673139,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
